Change Component Comment : Designator=U4 Old Comment=EL3H7(C)(TA)-G New Comment=OR-3H7B-TP-G
Change component parameters: Designator = "U4" ("U4"); Footprint = "SOIC_(B)(TA)-VG_EVS"; UniqueID = "\AQYHURCX" ("\AQYHURCX")
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "RC0603FR-071KL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "5000=0.0015, 50000=0.0014, 200000=0.0014, 625000=0.0013, 2000000=0.0012 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reach SVHC Compliant"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "1kR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Type"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "RC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size Code"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "16270000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Future Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number"; Value = "C22548"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "4016291"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "THICK FILM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=R8(RES_0603)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/16511/aoa0000ce2-16511861.pdf?src-supplier=Avnet+Asia"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/16511/aoa0000ce2-16511861.pdf?src-supplier=Avnet+Asia"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/46372/1678782-46372725.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/46372/1678782-46372725.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/7830/aoa0000ce2-7830729.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/7830/aoa0000ce2-7830729.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/48530/aoa0000ce2-48530988.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/48530/aoa0000ce2-48530988.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/28514/426256-28514198.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/28514/426256-28514198.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/9194/aoa0000ce2-9194199.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/9194/aoa0000ce2-9194199.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.ciiva.com/17212/aoa0000ce2-17212105.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink7URL"; Value = "https://datasheet.ciiva.com/17212/aoa0000ce2-17212105.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink8Description"; Value = "https://datasheet.ciiva.com/30208/aoa0000ce2-30208985.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink8URL"; Value = "https://datasheet.ciiva.com/30208/aoa0000ce2-30208985.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink9Description"; Value = "https://datasheet.ciiva.com/24070/aoa0000ce2-24070318.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink9URL"; Value = "https://datasheet.ciiva.com/24070/aoa0000ce2-24070318.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink10Description"; Value = "https://datasheet.ciiva.com/16759/70260748-16759807.pdf?src-supplier=Allied+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink10URL"; Value = "https://datasheet.ciiva.com/16759/70260748-16759807.pdf?src-supplier=Allied+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.45mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "ERJ3EKF1002V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "5000 = 0.00810, 10000 = 0.00710, 25000 = 0.00640, 50000 = 0.00570, 125000 = 0.00550 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10kR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "780000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Arrow"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "ERJ-3EKF1002V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "75V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "75V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Added Component: Designator=U6(SOIC_(B)(TA)-VG_EVS)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "LCSC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.lcsc.com/product-detail/Optocouplers-Phototransistor-Output_Orient-OR-3H7B-TP-G_C282477.html"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Orient"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "OR-3H7B-TP-G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number"; Value = "C282477"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "80V 3750V 50mA"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=CONN1-9
Added Pin To Net: NetName=GND Pin=CONN1-11
Added Pin To Net: NetName=+21V Pin=D12-2
Added Pin To Net: NetName=+21V Pin=R4-2
Added Pin To Net: NetName=NetFB3_2 Pin=U3-1
Added Pin To Net: NetName=GND Pin=U3-3
Added Pin To Net: NetName=NetFB3_2 Pin=U4-1
Added Pin To Net: NetName=GND Pin=U4-3
Added Pin To Net: NetName=NetFB3_2 Pin=U6-1
Added Pin To Net: NetName=GND Pin=U6-3
Added Pin To Net: NetName=CGND Pin=D1-2
Added Pin To Net: NetName=CGND Pin=D2-1
Added Pin To Net: NetName=CGND Pin=D3-1
Added Pin To Net: NetName=CGND Pin=D4-2
Added Pin To Net: NetName=CGND Pin=D7-2
Added Pin To Net: NetName=CGND Pin=D8-1
Added Pin To Net: NetName=CGND Pin=D9-1
Added Pin To Net: NetName=CGND Pin=D10-2
Added Pin To Net: NetName=CGND Pin=T1-1
Added Pin To Net: NetName=CGND Pin=T1-4
Added Pin To Net: NetName=CGND Pin=T1-7
Added Pin To Net: NetName=CGND Pin=T1-10
Added Pin To Net: NetName=CGND Pin=T1-15
Added Pin To Net: NetName=CGND Pin=T1-18
Added Pin To Net: NetName=CGND Pin=T1-21
Added Pin To Net: NetName=CGND Pin=T1-24
Added Net: Name=CGND
Added Pin To Net: NetName=LINK_LED Pin=CONN1-12
Added Pin To Net: NetName=LINK_LED Pin=R7-1
Added Net: Name=LINK_LED
Added Pin To Net: NetName=NetCONN1_1 Pin=CONN1-1
Added Pin To Net: NetName=NetCONN1_1 Pin=T1-13
Added Net: Name=NetCONN1_1
Added Pin To Net: NetName=NetCONN1_2 Pin=CONN1-2
Added Pin To Net: NetName=NetCONN1_2 Pin=T1-14
Added Net: Name=NetCONN1_2
Added Pin To Net: NetName=NetCONN1_3 Pin=CONN1-3
Added Pin To Net: NetName=NetCONN1_3 Pin=T1-16
Added Net: Name=NetCONN1_3
Added Pin To Net: NetName=NetCONN1_4 Pin=CONN1-4
Added Pin To Net: NetName=NetCONN1_4 Pin=T1-20
Added Net: Name=NetCONN1_4
Added Pin To Net: NetName=NetCONN1_5 Pin=CONN1-5
Added Pin To Net: NetName=NetCONN1_5 Pin=T1-19
Added Net: Name=NetCONN1_5
Added Pin To Net: NetName=NetCONN1_6 Pin=CONN1-6
Added Pin To Net: NetName=NetCONN1_6 Pin=T1-17
Added Net: Name=NetCONN1_6
Added Pin To Net: NetName=NetCONN1_7 Pin=CONN1-7
Added Pin To Net: NetName=NetCONN1_7 Pin=T1-23
Added Net: Name=NetCONN1_7
Added Pin To Net: NetName=NetCONN1_8 Pin=CONN1-8
Added Pin To Net: NetName=NetCONN1_8 Pin=T1-22
Added Net: Name=NetCONN1_8
Added Pin To Net: NetName=NetCONN2_1 Pin=CONN2-1
Added Pin To Net: NetName=NetCONN2_1 Pin=T1-12
Added Net: Name=NetCONN2_1
Added Pin To Net: NetName=NetCONN2_2 Pin=CONN2-2
Added Pin To Net: NetName=NetCONN2_2 Pin=T1-11
Added Net: Name=NetCONN2_2
Added Pin To Net: NetName=NetCONN2_3 Pin=CONN2-3
Added Pin To Net: NetName=NetCONN2_3 Pin=T1-9
Added Net: Name=NetCONN2_3
Added Pin To Net: NetName=NetCONN2_4 Pin=CONN2-4
Added Pin To Net: NetName=NetCONN2_4 Pin=T1-5
Added Net: Name=NetCONN2_4
Added Pin To Net: NetName=NetCONN2_5 Pin=CONN2-5
Added Pin To Net: NetName=NetCONN2_5 Pin=T1-6
Added Net: Name=NetCONN2_5
Added Pin To Net: NetName=NetCONN2_6 Pin=CONN2-6
Added Pin To Net: NetName=NetCONN2_6 Pin=T1-8
Added Net: Name=NetCONN2_6
Added Pin To Net: NetName=NetCONN2_7 Pin=CONN2-7
Added Pin To Net: NetName=NetCONN2_7 Pin=T1-2
Added Net: Name=NetCONN2_7
Added Pin To Net: NetName=NetCONN2_8 Pin=CONN2-8
Added Pin To Net: NetName=NetCONN2_8 Pin=T1-3
Added Net: Name=NetCONN2_8
Added Pin To Net: NetName=NetD12_1 Pin=D12-1
Added Pin To Net: NetName=NetD12_1 Pin=R5-1
Added Net: Name=NetD12_1
Added Pin To Net: NetName=NetD12_3 Pin=D12-3
Added Pin To Net: NetName=NetD12_3 Pin=R6-1
Added Net: Name=NetD12_3
Added Pin To Net: NetName=NetD12_4 Pin=D12-4
Added Pin To Net: NetName=NetD12_4 Pin=R8-1
Added Net: Name=NetD12_4
Added Pin To Net: NetName=NetJ2_1 Pin=J2-1
Added Pin To Net: NetName=NetJ2_1 Pin=R7-2
Added Net: Name=NetJ2_1
Added Pin To Net: NetName=NetR5_2 Pin=R5-2
Added Pin To Net: NetName=NetR5_2 Pin=U3-4
Added Net: Name=NetR5_2
Added Pin To Net: NetName=NetR6_2 Pin=R6-2
Added Pin To Net: NetName=NetR6_2 Pin=U6-4
Added Net: Name=NetR6_2
Added Pin To Net: NetName=NetR8_2 Pin=R8-2
Added Pin To Net: NetName=NetR8_2 Pin=U4-4
Added Net: Name=NetR8_2
Added Pin To Net: NetName=NetU1_3 Pin=U1-3
Added Pin To Net: NetName=NetU1_3 Pin=U3-2
Added Net: Name=NetU1_3
Added Pin To Net: NetName=NetU1_4 Pin=U1-4
Added Pin To Net: NetName=NetU1_4 Pin=U4-2
Added Net: Name=NetU1_4
Added Pin To Net: NetName=NetU1_5 Pin=U1-5
Added Pin To Net: NetName=NetU1_5 Pin=U6-2
Added Net: Name=NetU1_5
Added Pin To Net: NetName=PWR_LED Pin=CONN1-10
Added Pin To Net: NetName=PWR_LED Pin=R4-1
Added Net: Name=PWR_LED
Added Member To Class: ClassName=beovox-poe Member=Component D12 FM-3510RGBA-SG
Added Member To Class: ClassName=beovox-poe Member=Component J2 PZ254V-11-01P
Added Member To Class: ClassName=beovox-poe Member=Component R4 10K
Added Member To Class: ClassName=beovox-poe Member=Component R5 10K
Added Member To Class: ClassName=beovox-poe Member=Component R6 10K
Added Member To Class: ClassName=beovox-poe Member=Component R7 1K
Added Member To Class: ClassName=beovox-poe Member=Component R8 10K
Added Member To Class: ClassName=beovox-poe Member=Component U6 OR-3H7B-TP-G
